id,text,stars,categoria
49,"No cumplió del todo mis expectativas. Los audífonos de Bosque Design las instrucciones de armado están mal traducidas y no calzan con las piezas. Eso sí, la calidad de los materiales superó mis expectativas.",2,electronica
50,"Mouse inalámbrico de Puno Studio: llegó a tiempo, aunque el embalaje podría mejorar.",3,electronica
51,Increíble calidad. Se nota el cuidado en los detalles y terminaciones.,5,mueble
52,Bastante conforme con el producto. Combina perfecto con el resto de mi decoración.,4,mueble
53,Muy buena compra en general. Quedó espectacular en el living. Lo único es que faltaban tornillos y tuve que comprarlos por mi cuenta.,4,electronica
54,Increíble calidad. Combina perfecto con el resto de mi decoración.,5,papeleria
55,"Muy decepcionado con esta compra. Compré una repisa Bosque Design y el material se siente mucho más barato de lo que se ve en las fotos. Además, llegó con un rayón visible en la superficie. Por si fuera poco, el color no se parece nada a la foto del sitio. Además, el servicio al cliente no respondió ningún correo.",1,mueble
56,"Una de las peores experiencias de compra que he tenido. Compré un set de rotuladores Puno Studio y el tamaño real es bastante menor al que aparece en la descripción. Sumado a eso, las instrucciones de armado están mal traducidas y no calzan con las piezas. Además, el servicio al cliente no respondió ningún correo.",1,papeleria
57,"Muy recomendado. Llegó antes de lo prometido y muy bien embalado. Además, el acabado se ve mucho más caro de lo que costó.",5,textil
58,Bastante conforme con el producto. Es exactamente como se veía en las fotos. Lo único es que llegó con un rayón visible en la superficie.,4,mueble
59,Increíble calidad. Combina perfecto con el resto de mi decoración.,5,electronica
60,No cumplió del todo mis expectativas. El cojín de Fabril olía fuerte a químico los primeros días.,2,textil
61,"Realmente una mala experiencia de principio a fin. Compré una alfombra Norden y el acabado tiene burbujas y marcas de fábrica. Por si fuera poco, llegó golpeado por todos lados, el embalaje era pésimo. Una lástima, esperaba mucho más de esta marca.",1,textil
62,Silla de Tallerín: funciona bien pero el color es más apagado de lo que pensé.,3,mueble
63,"Muy recomendado. Quedó espectacular en el living. Y de paso, el proceso de compra y despacho fue impecable.",5,iluminacion
64,"Una de las peores experiencias de compra que he tenido. Compré un colgante LED Cordillera Home y el material se siente mucho más barato de lo que se ve en las fotos. Para peor, olía fuerte a químico los primeros días. Pedí el reembolso y no pienso volver a comprar acá.",1,iluminacion
65,"Realmente una mala experiencia de principio a fin. Compré una lámpara de pie Puno Studio y el color no se parece nada a la foto del sitio. Por si fuera poco, se despegó una parte a la semana de uso. Además, el servicio al cliente no respondió ningún correo. Además, el acabado tiene burbujas y marcas de fábrica. Una lástima, esperaba mucho más de esta marca.",1,iluminacion
66,Velador de Casa Sur: cumple lo básico pero nada extraordinario.,3,mueble
67,"Muy decepcionado con esta compra. Compré un colgante LED Fabril y llegó con un rayón visible en la superficie. Por si fuera poco, el material se siente mucho más barato de lo que se ve en las fotos. Además, el tamaño real es bastante menor al que aparece en la descripción. Además, el envío se demoró casi tres semanas más de lo prometido. Definitivamente no vale lo que cuesta.",1,iluminacion
68,"Muy decepcionado con esta compra. Compré unos audífonos Cordillera Home y el envío se demoró casi tres semanas más de lo prometido. Para peor, llegó golpeado por todos lados, el embalaje era pésimo. Además, olía fuerte a químico los primeros días. Para peor, el servicio al cliente no respondió ningún correo. Pedí el reembolso y no pienso volver a comprar acá.",1,electronica
69,Realmente una mala experiencia de principio a fin. Compré un velador con luz Puno Studio y el tamaño real es bastante menor al que aparece en la descripción. Y lo peor: venía con una pieza rota dentro de la caja. Pedí el reembolso y no pienso volver a comprar acá.,1,iluminacion
70,Muy recomendado. Se nota el cuidado en los detalles y terminaciones.,5,iluminacion
71,"Muy decepcionado con esta compra. Compré un velador con luz Lumina y llegó con un rayón visible en la superficie. Además, tuve que pagar de mi bolsillo la devolución, algo que no avisaron. Además, llegó golpeado por todos lados, el embalaje era pésimo. Pedí el reembolso y no pienso volver a comprar acá.",1,iluminacion
72,"Esperaba algo mejor, la verdad. La funda de sofá de Fabril se despegó una parte a la semana de uso.",2,textil
73,Cumple bien lo que promete. Llegó antes de lo prometido y muy bien embalado.,4,electronica
74,"Increíble calidad. El diseño es precioso y funcional a la vez. Y de paso, quedó espectacular en el living.",5,textil
75,¡Excelente! Combina perfecto con el resto de mi decoración.,5,mueble
76,"Perfecto, tal cual se describe. El proceso de compra y despacho fue impecable. Y de paso, es súper fácil de armar, en 10 minutos estaba listo.",5,iluminacion
77,"Perfecto, tal cual se describe. La calidad de los materiales superó mis expectativas. También es súper fácil de armar, en 10 minutos estaba listo.",5,electronica
78,"Realmente una mala experiencia de principio a fin. Compré un cargador rápido Puno Studio y el color no se parece nada a la foto del sitio. Por si fuera poco, venía con una pieza rota dentro de la caja. Además, llegó con un rayón visible en la superficie. Sumado a eso, faltaban tornillos y tuve que comprarlos por mi cuenta. No compraría de nuevo en esta tienda.",1,electronica
79,¡Excelente! El proceso de compra y despacho fue impecable.,5,electronica
80,Realmente una mala experiencia de principio a fin. Compré un block de bocetos Tallerín y el acabado tiene burbujas y marcas de fábrica. Y lo peor: el servicio al cliente no respondió ningún correo. Definitivamente no vale lo que cuesta.,1,papeleria
81,"Increíble calidad. Llegó antes de lo prometido y muy bien embalado. Además, el diseño es precioso y funcional a la vez.",5,textil
82,Muy buena compra en general. Se nota el cuidado en los detalles y terminaciones. Lo único es que no coincide para nada con las medidas publicadas.,4,mueble
83,"Perfecto, tal cual se describe. Combina perfecto con el resto de mi decoración.",5,iluminacion
84,"Realmente una mala experiencia de principio a fin. Compré una lámpara de pie Casa Sur y faltaban tornillos y tuve que comprarlos por mi cuenta. Por si fuera poco, llegó con un rayón visible en la superficie. Por si fuera poco, no coincide para nada con las medidas publicadas. No compraría de nuevo en esta tienda.",1,iluminacion
85,Muy recomendado. Se nota el cuidado en los detalles y terminaciones.,5,electronica
86,Tiene varios detalles que no me convencieron. El sillón de Bosque Design el acabado tiene burbujas y marcas de fábrica.,2,mueble
87,Tiene varios detalles que no me convencieron. El cojín de Bosque Design llegó con un rayón visible en la superficie.,2,textil
88,"Superó mis expectativas. Llegó antes de lo prometido y muy bien embalado. Y de paso, combina perfecto con el resto de mi decoración.",5,mueble
89,"Una de las peores experiencias de compra que he tenido. Compré un aplique de pared Fabril y venía con una pieza rota dentro de la caja. Sumado a eso, se despegó una parte a la semana de uso. Una lástima, esperaba mucho más de esta marca.",1,iluminacion
90,Set de rotuladores de Rukan: funciona bien pero el color es más apagado de lo que pensé.,3,papeleria
91,"¡Excelente! El proceso de compra y despacho fue impecable. Además, es exactamente como se veía en las fotos.",5,electronica
92,"Esperaba algo mejor, la verdad. El escritorio de Rukan venía con una pieza rota dentro de la caja.",2,mueble
93,Increíble calidad. Llegó antes de lo prometido y muy bien embalado. También el diseño es precioso y funcional a la vez.,5,papeleria
94,Bastante conforme con el producto. El acabado se ve mucho más caro de lo que costó.,4,textil
95,"Muy decepcionado con esta compra. Compré un mouse inalámbrico Rukan y el envío se demoró casi tres semanas más de lo prometido. Además, las instrucciones de armado están mal traducidas y no calzan con las piezas. Sumado a eso, el color no se parece nada a la foto del sitio. Para peor, se despegó una parte a la semana de uso.",1,electronica
96,"Cargador rápido de Norden: está bien para el precio, aunque esperaba un poco más.",3,electronica
97,Muy recomendado. El diseño es precioso y funcional a la vez.,5,electronica
98,Superó mis expectativas. La calidad de los materiales superó mis expectativas.,5,electronica
99,Cumple bien lo que promete. El acabado se ve mucho más caro de lo que costó.,4,mueble
100,Bastante conforme con el producto. Es exactamente como se veía en las fotos.,4,mueble
101,"Muy recomendado. Llegó antes de lo prometido y muy bien embalado. Y de paso, quedó espectacular en el living.",5,papeleria
102,"Realmente una mala experiencia de principio a fin. Compré una funda de sofá Puno Studio y faltaban tornillos y tuve que comprarlos por mi cuenta. Sumado a eso, tuve que pagar de mi bolsillo la devolución, algo que no avisaron. Por si fuera poco, el color no se parece nada a la foto del sitio. Además, el servicio al cliente no respondió ningún correo.",1,textil
103,Colgante led de Lumina: funciona bien pero el color es más apagado de lo que pensé.,3,iluminacion
104,"No cumplió del todo mis expectativas. El organizador de escritorio de Estudio Maule el tamaño real es bastante menor al que aparece en la descripción. Eso sí, llegó antes de lo prometido y muy bien embalado.",2,papeleria
105,"Esperaba algo mejor, la verdad. El teclado mecánico de Lumina se despegó una parte a la semana de uso.",2,electronica
106,"Lámpara de pie de Norden: llegó a tiempo, aunque el embalaje podría mejorar.",3,iluminacion
107,"Una de las peores experiencias de compra que he tenido. Compré unos audífonos Norden y no coincide para nada con las medidas publicadas. Y lo peor: venía con una pieza rota dentro de la caja. Sumado a eso, las instrucciones de armado están mal traducidas y no calzan con las piezas.",1,electronica
108,¡Excelente! El proceso de compra y despacho fue impecable.,5,mueble
109,"Esperaba mucho más por el precio que pagué. Compré un closet modular Lumina y tuve que pagar de mi bolsillo la devolución, algo que no avisaron. Para peor, el tamaño real es bastante menor al que aparece en la descripción. Y lo peor: no coincide para nada con las medidas publicadas.",1,mueble
110,"Superó mis expectativas. El proceso de compra y despacho fue impecable. Además, quedó espectacular en el living.",5,mueble
111,"Bastante conforme con el producto. Es súper fácil de armar, en 10 minutos estaba listo.",4,iluminacion
112,"Esperaba mucho más por el precio que pagué. Compré un set de rotuladores Lumina y el envío se demoró casi tres semanas más de lo prometido. Para peor, el material se siente mucho más barato de lo que se ve en las fotos. Y lo peor: las instrucciones de armado están mal traducidas y no calzan con las piezas. Por si fuera poco, se despegó una parte a la semana de uso. Definitivamente no vale lo que cuesta.",1,papeleria
113,"Perfecto, tal cual se describe. El acabado se ve mucho más caro de lo que costó.",5,textil
114,Esperaba mucho más por el precio que pagué. Compré una agenda 2026 Casa Sur y el acabado tiene burbujas y marcas de fábrica. Y lo peor: el material se siente mucho más barato de lo que se ve en las fotos.,1,papeleria
115,"Muy decepcionado con esta compra. Compré un sillón Casa Sur y el acabado tiene burbujas y marcas de fábrica. Por si fuera poco, el servicio al cliente no respondió ningún correo. Y lo peor: venía con una pieza rota dentro de la caja. Una lástima, esperaba mucho más de esta marca.",1,mueble
116,"Esperaba mucho más por el precio que pagué. Compré un teclado mecánico Fabril y el material se siente mucho más barato de lo que se ve en las fotos. Sumado a eso, el acabado tiene burbujas y marcas de fábrica. Por si fuera poco, el color no se parece nada a la foto del sitio. Por si fuera poco, faltaban tornillos y tuve que comprarlos por mi cuenta. Definitivamente no vale lo que cuesta.",1,electronica
117,Superó mis expectativas. El proceso de compra y despacho fue impecable.,5,mueble
118,"Realmente una mala experiencia de principio a fin. Compré un teclado mecánico Fabril y llegó con un rayón visible en la superficie. Además, las instrucciones de armado están mal traducidas y no calzan con las piezas. Por si fuera poco, no coincide para nada con las medidas publicadas.",1,electronica
119,Muy recomendado. Es exactamente como se veía en las fotos. También el acabado se ve mucho más caro de lo que costó.,5,electronica
120,"Perfecto, tal cual se describe. El acabado se ve mucho más caro de lo que costó. También es súper fácil de armar, en 10 minutos estaba listo.",5,textil
121,Velador de Estudio Maule: cumple lo básico pero nada extraordinario.,3,mueble
122,"Una de las peores experiencias de compra que he tenido. Compré un closet modular Rukan y faltaban tornillos y tuve que comprarlos por mi cuenta. Además, el acabado tiene burbujas y marcas de fábrica.",1,mueble
123,"¡Excelente! El proceso de compra y despacho fue impecable. Además, el diseño es precioso y funcional a la vez.",5,electronica
124,Cumple bien lo que promete. El diseño es precioso y funcional a la vez.,4,mueble
125,Cumple bien lo que promete. Quedó espectacular en el living.,4,electronica
126,Cumple bien lo que promete. Llegó antes de lo prometido y muy bien embalado.,4,electronica
127,No cumplió del todo mis expectativas. El parlante bluetooth de Cordillera Home el servicio al cliente no respondió ningún correo.,2,electronica
128,Una de las peores experiencias de compra que he tenido. Compré una cortina Estudio Maule y las instrucciones de armado están mal traducidas y no calzan con las piezas. Y lo peor: llegó con un rayón visible en la superficie.,1,textil
129,"Muy decepcionado con esta compra. Compré un cojín Lumina y el servicio al cliente no respondió ningún correo. Sumado a eso, las instrucciones de armado están mal traducidas y no calzan con las piezas. Pedí el reembolso y no pienso volver a comprar acá.",1,textil
130,"No lo recomiendo para nada. Compré un set de rotuladores Tallerín y el material se siente mucho más barato de lo que se ve en las fotos. Y lo peor: el tamaño real es bastante menor al que aparece en la descripción. Por si fuera poco, no coincide para nada con las medidas publicadas. Una lástima, esperaba mucho más de esta marca.",1,papeleria
131,"Superó mis expectativas. Llegó antes de lo prometido y muy bien embalado. Además, el diseño es precioso y funcional a la vez.",5,papeleria
132,Tiene varios detalles que no me convencieron. El block de bocetos de Tallerín el tamaño real es bastante menor al que aparece en la descripción.,2,papeleria
133,"Esperaba algo mejor, la verdad. La mesa de centro de Rukan el tamaño real es bastante menor al que aparece en la descripción.",2,mueble
134,Muy buena compra en general. Combina perfecto con el resto de mi decoración.,4,iluminacion
135,Bastante conforme con el producto. El acabado se ve mucho más caro de lo que costó.,4,electronica
136,Superó mis expectativas. La calidad de los materiales superó mis expectativas. También quedó espectacular en el living.,5,mueble
137,"Esperaba algo mejor, la verdad. El velador de Norden el color no se parece nada a la foto del sitio. Eso sí, el proceso de compra y despacho fue impecable.",2,mueble
138,Cumple bien lo que promete. La calidad de los materiales superó mis expectativas. Lo único es que las instrucciones de armado están mal traducidas y no calzan con las piezas.,4,textil
139,¡Excelente! Quedó espectacular en el living.,5,iluminacion
140,"Muy decepcionado con esta compra. Compré un banco Tallerín y tuve que pagar de mi bolsillo la devolución, algo que no avisaron. Por si fuera poco, llegó con un rayón visible en la superficie. No compraría de nuevo en esta tienda.",1,mueble
141,"Realmente una mala experiencia de principio a fin. Compré un sillón Estudio Maule y se despegó una parte a la semana de uso. Y lo peor: olía fuerte a químico los primeros días. Para peor, llegó con un rayón visible en la superficie. Definitivamente no vale lo que cuesta.",1,mueble
142,"No lo recomiendo para nada. Compré una mesa de centro Lumina y el color no se parece nada a la foto del sitio. Además, se despegó una parte a la semana de uso. Pedí el reembolso y no pienso volver a comprar acá.",1,mueble
143,"No cumplió del todo mis expectativas. El cojín de Cordillera Home el acabado tiene burbujas y marcas de fábrica. Eso sí, combina perfecto con el resto de mi decoración.",2,textil
144,"Una de las peores experiencias de compra que he tenido. Compré un cojín Rukan y el tamaño real es bastante menor al que aparece en la descripción. Además, olía fuerte a químico los primeros días. Una lástima, esperaba mucho más de esta marca.",1,textil
145,"Cuaderno de diseño de Lumina: llegó a tiempo, aunque el embalaje podría mejorar.",3,papeleria
146,Superó mis expectativas. El diseño es precioso y funcional a la vez. También llegó antes de lo prometido y muy bien embalado.,5,mueble
147,Bastante conforme con el producto. Quedó espectacular en el living.,4,textil
148,"Increíble calidad. El acabado se ve mucho más caro de lo que costó. Y de paso, combina perfecto con el resto de mi decoración.",5,iluminacion
149,Agenda 2026 de Bosque Design: cumple lo básico pero nada extraordinario.,3,papeleria
150,Tiene varios detalles que no me convencieron. El colgante LED de Rukan el tamaño real es bastante menor al que aparece en la descripción.,2,iluminacion
151,"Esperaba mucho más por el precio que pagué. Compré una mesa de centro Tallerín y olía fuerte a químico los primeros días. Por si fuera poco, faltaban tornillos y tuve que comprarlos por mi cuenta. No compraría de nuevo en esta tienda.",1,mueble
152,Muy recomendado. El proceso de compra y despacho fue impecable.,5,electronica
153,"Esperaba mucho más por el precio que pagué. Compré un closet modular Lumina y el material se siente mucho más barato de lo que se ve en las fotos. Para peor, el acabado tiene burbujas y marcas de fábrica. Y lo peor: se despegó una parte a la semana de uso. Pedí el reembolso y no pienso volver a comprar acá.",1,mueble
154,Muy buena compra en general. El proceso de compra y despacho fue impecable.,4,mueble
155,"Esperaba mucho más por el precio que pagué. Compré un parlante bluetooth Estudio Maule y el servicio al cliente no respondió ningún correo. Además, llegó con un rayón visible en la superficie. Definitivamente no vale lo que cuesta.",1,electronica
156,"Perfecto, tal cual se describe. Es súper fácil de armar, en 10 minutos estaba listo.",5,mueble
157,"Closet modular de Rukan: llegó a tiempo, aunque el embalaje podría mejorar.",3,mueble
158,¡Excelente! Quedó espectacular en el living.,5,electronica
159,"Muy buena compra en general. El proceso de compra y despacho fue impecable. Lo único es que tuve que pagar de mi bolsillo la devolución, algo que no avisaron.",4,electronica
160,Bastante conforme con el producto. El acabado se ve mucho más caro de lo que costó.,4,mueble
161,"Muy decepcionado con esta compra. Compré un velador con luz Estudio Maule y el envío se demoró casi tres semanas más de lo prometido. Por si fuera poco, el tamaño real es bastante menor al que aparece en la descripción. Una lástima, esperaba mucho más de esta marca.",1,iluminacion
162,"Esperaba algo mejor, la verdad. El set de rotuladores de Casa Sur llegó con un rayón visible en la superficie.",2,papeleria
163,"Increíble calidad. Combina perfecto con el resto de mi decoración. Además, quedó espectacular en el living.",5,iluminacion
164,"Increíble calidad. Es súper fácil de armar, en 10 minutos estaba listo.",5,mueble
165,"No cumplió del todo mis expectativas. El velador con luz de Rukan el tamaño real es bastante menor al que aparece en la descripción. Eso sí, es exactamente como se veía en las fotos.",2,iluminacion
166,"Superó mis expectativas. Llegó antes de lo prometido y muy bien embalado. Y de paso, el proceso de compra y despacho fue impecable.",5,papeleria
167,Superó mis expectativas. La calidad de los materiales superó mis expectativas.,5,mueble
168,"Perfecto, tal cual se describe. Es exactamente como se veía en las fotos.",5,mueble
169,"Esperaba algo mejor, la verdad. El parlante bluetooth de Estudio Maule llegó golpeado por todos lados, el embalaje era pésimo.",2,electronica
170,"No lo recomiendo para nada. Compré un teclado mecánico Rukan y el color no se parece nada a la foto del sitio. Y lo peor: se despegó una parte a la semana de uso. Además, el servicio al cliente no respondió ningún correo. Una lástima, esperaba mucho más de esta marca.",1,electronica
171,"No lo recomiendo para nada. Compré un parlante bluetooth Lumina y venía con una pieza rota dentro de la caja. Además, el material se siente mucho más barato de lo que se ve en las fotos. Además, llegó con un rayón visible en la superficie. Por si fuera poco, el servicio al cliente no respondió ningún correo. Definitivamente no vale lo que cuesta.",1,electronica
172,"Cinta led de Estudio Maule: está bien para el precio, aunque esperaba un poco más.",3,iluminacion
173,Tiene varios detalles que no me convencieron. El aplique de pared de Casa Sur el color no se parece nada a la foto del sitio.,2,iluminacion
174,"Muy buena compra en general. Es súper fácil de armar, en 10 minutos estaba listo.",4,mueble
175,¡Excelente! Se nota el cuidado en los detalles y terminaciones.,5,electronica
176,Bastante conforme con el producto. Quedó espectacular en el living.,4,textil
177,"Esperaba mucho más por el precio que pagué. Compré un colgante LED Fabril y venía con una pieza rota dentro de la caja. Por si fuera poco, las instrucciones de armado están mal traducidas y no calzan con las piezas.",1,iluminacion
178,Muy buena compra en general. El diseño es precioso y funcional a la vez. Lo único es que llegó con un rayón visible en la superficie.,4,mueble
179,"Muy decepcionado con esta compra. Compré un escritorio Puno Studio y las instrucciones de armado están mal traducidas y no calzan con las piezas. Para peor, el servicio al cliente no respondió ningún correo. Además, el envío se demoró casi tres semanas más de lo prometido.",1,mueble
180,"Superó mis expectativas. El proceso de compra y despacho fue impecable. Y de paso, es exactamente como se veía en las fotos.",5,papeleria
181,,5,iluminacion
182,"Una de las peores experiencias de compra que he tenido. Compré una lámpara de pie Norden y el color no se parece nada a la foto del sitio. Y lo peor: el envío se demoró casi tres semanas más de lo prometido. Por si fuera poco, el material se siente mucho más barato de lo que se ve en las fotos. Una lástima, esperaba mucho más de esta marca.",1,iluminacion
183,"Tiene varios detalles que no me convencieron. La cortina de Cordillera Home llegó golpeado por todos lados, el embalaje era pésimo. Eso sí, quedó espectacular en el living.",2,textil
184,Bastante conforme con el producto. Es exactamente como se veía en las fotos. Lo único es que venía con una pieza rota dentro de la caja.,4,papeleria
185,Superó mis expectativas. El proceso de compra y despacho fue impecable.,5,iluminacion
186,"¡Excelente! La calidad de los materiales superó mis expectativas. Además, llegó antes de lo prometido y muy bien embalado.",5,electronica
187,¡Excelente! El acabado se ve mucho más caro de lo que costó.,5,papeleria
188,Manta de Tallerín: el diseño me gusta pero la calidad es regular.,3,textil
189,Increíble calidad. Quedó espectacular en el living.,5,textil
190,"Increíble calidad. La calidad de los materiales superó mis expectativas. Y de paso, el proceso de compra y despacho fue impecable.",5,electronica
191,"Una de las peores experiencias de compra que he tenido. Compré un banco Puno Studio y tuve que pagar de mi bolsillo la devolución, algo que no avisaron. Sumado a eso, faltaban tornillos y tuve que comprarlos por mi cuenta. Y lo peor: el color no se parece nada a la foto del sitio.",1,mueble
192,"Realmente una mala experiencia de principio a fin. Compré un cojín Bosque Design y llegó con un rayón visible en la superficie. Por si fuera poco, el acabado tiene burbujas y marcas de fábrica. Sumado a eso, el color no se parece nada a la foto del sitio. Por si fuera poco, las instrucciones de armado están mal traducidas y no calzan con las piezas. Una lástima, esperaba mucho más de esta marca.",1,textil
193,Cargador rápido de Fabril: el diseño me gusta pero la calidad es regular.,3,electronica
194,"Increíble calidad. Combina perfecto con el resto de mi decoración. Y de paso, se nota el cuidado en los detalles y terminaciones.",5,mueble
195,¡Excelente! Se nota el cuidado en los detalles y terminaciones.,5,mueble
